,tconst,titleType,primaryTitle,isAdult,startYear,endYear,genres,directors,weight_average,cast,director_name
0,tt0111161,movie,theshawshankredemption,0,1994,\n,drama,nm0001104,9.209958170965383,"'morganfreeman', 'timrobbins', 'williamsadler', 'bobgunton'",'frankdarabont'
1,tt0468569,movie,thedarkknight,0,2008,\n,"action,crime,drama",nm0634240,8.921539563227435,"'michaelcaine', 'christianbale', 'aaroneckhart', 'heathledger'",'christophernolan'
2,tt1375666,movie,inception,0,2010,\n,"action,adventure,sci-fi",nm0634240,8.722421324361145,"'leonardodicaprio', 'kenwatanabe', 'josephgordon-levitt', 'ellenpage'",'christophernolan'
3,tt0137523,movie,fightclub,0,1999,\n,drama,nm0000399,8.714213199024332,"'bradpitt', 'edwardnorton', 'zachgrenier', 'meatloaf'",'davidfincher'
4,tt0944947,tvseries,gameofthrones,0,2011,2019,"action,adventure,drama","nm0755261,nm0638354,nm0851930,nm0336241,nm0787687,nm0764601,nm0617042,nm0070474,nm0806252,nm0687964,nm0007008,nm0590889,nm0551076,nm0002399,nm0887700,nm0533713,nm1888967,nm1125275,nm1047532",9.181493014732895,"'iainglen', 'lenaheadey', 'nikolajcoster-waldau', 'peterdinklage', 'kitharington'",'danielsackheim'
5,tt0110912,movie,pulpfiction,0,1994,\n,"crime,drama",nm0000233,8.807578577019328,"'johntravolta', 'brucewillis', 'umathurman', 'samuell.jackson'",'quentintarantino'
6,tt0109830,movie,forrestgump,0,1994,\n,"drama,romance",nm0000709,8.711943352035604,"'sallyfield', 'tomhanks', 'robinwright', 'garysinise'",'robertzemeckis'
7,tt0068646,movie,thegodfather,0,1972,\n,"crime,drama",nm0000338,9.078043761059282,"'marlonbrando', 'jamescaan', 'alpacino', 'dianekeaton'",'francisfordcoppola'
8,tt0167260,movie,thelordoftheringsthereturnoftheking,0,2003,\n,"action,adventure,drama",nm0001392,8.797918316982667,"'ianmckellen', 'viggomortensen', 'elijahwood', 'orlandobloom'",'peterjackson'
9,tt0120737,movie,thelordoftheringsthefellowshipofthering,0,2001,\n,"action,adventure,drama",nm0001392,8.70475656799656,"'ianmckellen', 'seanbean', 'elijahwood', 'orlandobloom'",'peterjackson'
10,tt0133093,movie,thematrix,0,1999,\n,"action,sci-fi","nm0905154,nm0905152",8.611413341182143,"'laurencefishburne', 'keanureeves', 'hugoweaving', 'carrie-annemoss'",'lanawachowski'
11,tt0903747,tvseries,breakingbad,0,2008,2013,"crime,drama,thriller","nm0568192,nm1041475,nm2297407,nm1720541,nm0002835,nm0793062,nm0319213,nm0118778,nm0575389,nm0354024,nm0806252,nm0258066,nm0001093,nm0008971,nm0570995,nm0186505,nm0006853,nm1028558,nm0400486,nm0533713,nm0110644,nm0332467,nm0934525,nm0426059,nm0719307",9.343881127947476,"'jonathanbanks', 'bobodenkirk', 'bryancranston', 'deannorris', 'stevenmichaelquezada'",'terrymcdonough'
12,tt0167261,movie,thelordoftheringsthetwotowers,0,2002,\n,"action,adventure,drama",nm0001392,8.600885423244215,"'ianmckellen', 'viggomortensen', 'elijahwood', 'orlandobloom'",'peterjackson'
13,tt0816692,movie,interstellar,0,2014,\n,"adventure,drama,sci-fi",nm0634240,8.508218293675165,"'matthewmcconaughey', 'annehathaway', 'jessicachastain', 'mackenziefoy'",'christophernolan'
14,tt1345836,movie,thedarkknightrises,0,2012,\n,"action,adventure",nm0634240,8.322132992702741,"'garyoldman', 'christianbale', 'annehathaway', 'tomhardy'",'christophernolan'
15,tt0114369,movie,se7en,0,1995,\n,"crime,drama,mystery",nm0000399,8.504801193099006,"'morganfreeman', 'bradpitt', 'kevinspacey', 'andrewkevinwalker'",'davidfincher'
16,tt0172495,movie,gladiator,0,2000,\n,"action,adventure,drama",nm0000631,8.405403497339693,"'oliverreed', 'russellcrowe', 'joaquinphoenix', 'connienielsen'",'ridleyscott'
17,tt1853728,movie,djangounchained,0,2012,\n,"drama,western",nm0000233,8.31339099399649,"'leonardodicaprio', 'jamiefoxx', 'kerrywashington', 'christophwaltz'",'quentintarantino'
18,tt0102926,movie,thesilenceofthelambs,0,1991,\n,"crime,drama,thriller",nm0001129,8.492842754627715,"'anthonyhopkins', 'jodiefoster', 'lawrencea.bonney', 'kasilemmons'",'jonathandemme'
19,tt0108052,movie,schindler'slist,0,1993,\n,"biography,drama,history",nm0000229,8.764647642759941,"'benkingsley', 'liamneeson', 'ralphfiennes', 'carolinegoodall'",'stevenspielberg'
20,tt0372784,movie,batmanbegins,0,2005,\n,"action,adventure",nm0634240,8.12542073794841,"'michaelcaine', 'liamneeson', 'kenwatanabe', 'christianbale'",'christophernolan'
21,tt0120815,movie,savingprivateryan,0,1998,\n,"drama,war",nm0000229,8.490137151008588,"'tomhanks', 'tomsizemore', 'mattdamon', 'edwardburns'",'stevenspielberg'
22,tt0076759,movie,starwarsepisodeivanewhope,0,1977,\n,"action,adventure,fantasy",nm0000184,8.489900305128687,"'alecguinness', 'harrisonford', 'markhamill', 'carriefisher'",'georgelucas'
23,tt0361748,movie,inglouriousbasterds,0,2009,\n,"adventure,drama,war",nm0000233,8.215281559903476,"'bradpitt', 'eliroth', 'dianekruger', 'mélanielaurent'",'quentintarantino'
24,tt0071562,movie,thegodfatherpartii,0,1974,\n,"crime,drama",nm0000338,8.846786365662922,"'robertduvall', 'robertdeniro', 'alpacino', 'dianekeaton'",'francisfordcoppola'
25,tt0848228,movie,theavengers,0,2012,\n,"action,adventure,sci-fi",nm0923736,7.938269267163157,"'robertdowneyjr.', 'scarlettjohansson', 'chrisevans', 'jeremyrenner'",'josswhedon'
26,tt0407887,movie,thedeparted,0,2006,\n,"crime,drama,thriller",nm0000217,8.394287475778519,"'jacknicholson', 'leonardodicaprio', 'mattdamon', 'markwahlberg'",'martinscorsese'
27,tt0482571,movie,theprestige,0,2006,\n,"drama,mystery,sci-fi",nm0634240,8.394119750356388,"'hughjackman', 'michaelcaine', 'christianbale', 'scarlettjohansson'",'christophernolan'
28,tt0080684,movie,starwarsepisodevtheempirestrikesback,0,1980,\n,"action,adventure,fantasy",nm0449984,8.575317270756932,"'billydeewilliams', 'harrisonford', 'markhamill', 'carriefisher'",'irvinkershner'
29,tt0120689,movie,thegreenmile,0,1999,\n,"crime,drama,fantasy",nm0001104,8.482125962727741,"'tomhanks', 'davidmorse', 'bonniehunt', 'michaelclarkeduncan'",'frankdarabont'
30,tt0993846,movie,thewolfofwallstreet,0,2013,\n,"biography,crime,drama",nm0000217,8.11761522222349,"'leonardodicaprio', 'matthewmcconaughey', 'jonahhill', 'margotrobbie'",'martinscorsese'
31,tt0209144,movie,memento,0,2000,\n,"mystery,thriller",nm0634240,8.29740315450666,"'joepantoliano', 'guypearce', 'markboonejunior', 'carrie-annemoss'",'christophernolan'
32,tt1130884,movie,shutterisland,0,2010,\n,"mystery,thriller",nm0000217,8.114303817893944,"'benkingsley', 'leonardodicaprio', 'markruffalo', 'emilymortimer'",'martinscorsese'
33,tt0088763,movie,backtothefuture,0,1985,\n,"adventure,comedy,sci-fi",nm0000709,8.382157383565644,"'christopherlloyd', 'michaelj.fox', 'leathompson', 'crispinglover'",'robertzemeckis'
34,tt0169547,movie,americanbeauty,0,1999,\n,drama,nm0005222,8.201557376636178,"'annettebening', 'kevinspacey', 'thorabirch', 'wesbentley'",'sammendes'
35,tt0099685,movie,goodfellas,0,1990,\n,"biography,crime,drama",nm0000217,8.559663835361869,"'robertdeniro', 'joepesci', 'rayliotta', 'lorrainebracco'",'martinscorsese'
36,tt0120586,movie,americanhistoryx,0,1998,\n,drama,nm0443411,8.38027670931616,"'beverlyd\'angelo', 'edwardfurlong', 'jenniferlien', 'edwardnorton'",'tonykaye'
37,tt0110413,movie,léontheprofessional,0,1994,\n,"action,crime,drama",nm0000108,8.379921215585062,"'dannyaiello', 'jeanreno', 'garyoldman', 'natalieportman'",'lucbesson'
38,tt0499549,movie,avatar,0,2009,\n,"action,adventure,fantasy",nm0000116,7.748062727158231,"'sigourneyweaver', 'michellerodriguez', 'samworthington', 'zoesaldana'",'jamescameron'
39,tt0434409,movie,vforvendetta,0,2005,\n,"action,drama,sci-fi",nm0574625,8.10741578619531,"'rupertgraves', 'hugoweaving', 'stephenrea', 'natalieportman'",'jamesmcteigue'
