,nconst,primaryName,knownForTitles
0,nm0029244,victor andré,tt0000417
1,nm1215996,brunnet,tt0000417
2,nm0000634,peter sellers,"tt0075066,tt0057012,tt0078841,tt0057413"
3,nm0074788,henry bergman,"tt0021749,tt0018773,tt0015864,tt0027977"
4,nm0325444,john golden,"tt0096463,tt0109348,tt0103939,tt0138304"
5,nm0045839,walter bacon,"tt0058331,tt0051201,tt0054215,tt0033467"
6,nm0000406,john ford,"tt0056217,tt0045061,tt0031971,tt0032551"
7,nm1027682,frank aderias,tt0015864
8,nm0000033,alfred hitchcock,"tt0040746,tt0054215,tt0053125,tt0052357"
9,nm0000370,walt disney,"tt0034492,tt0048280,tt0058331,tt0029583"
10,nm0412650,ub iwerks,"tt0046672,tt0046183,tt0048280,tt0056869"
11,nm0280707,paul fix,"tt0061619,tt0056592,tt0049261,tt0040724"
12,nm0003593,fred zinnemann,"tt0045793,tt0069947,tt0044706,tt0060665"
13,nm0000064,edward g. robinson,"tt0040506,tt0049833,tt0070723,tt0036775"
14,nm0000048,peter lorre,"tt0022100,tt0033870,tt0034583,tt0036613"
15,nm0480673,carl laemmle jr.,"tt0021884,tt0020629,tt0024184,tt0026138"
16,nm0000031,katharine hepburn,"tt0043265,tt0032904,tt0082846,tt0063227"
17,nm0000026,cary grant,"tt0056923,tt0053125,tt0032599,tt0048728"
18,nm0414144,wilfred jackson,"tt0046183,tt0043274,tt0029583,tt0042332"
19,nm0640547,una o'connor,"tt0051201,tt0024184,tt0029843,tt0026138"
20,nm0362567,cedric hardwicke,"tt0046534,tt0034248,tt0040746,tt0049833"
21,nm0001647,claude rains,"tt0024184,tt0038787,tt0034583,tt0029843"
22,nm0002034,jane darwell,"tt0036244,tt0031381,tt0032551,tt0058331"
23,nm0702798,john qualen,"tt0056217,tt0032551,tt0034583,tt0052561"
24,nm0415488,sam jaffe,"tt0066817,tt0042208,tt0043456,tt0052618"
25,nm0316539,cedric gibbons,"tt0049223,tt0036855,tt0032138,tt0043278"
26,nm0006388,david o. selznick,"tt0024216,tt0031381,tt0032976,tt0038109"
27,nm0006471,elsa lanchester,"tt0074937,tt0058331,tt0051201,tt0026138"
28,nm0029456,heather angel,"tt0046183,tt0043274,tt0034248,tt0037017"
29,nm0000071,james stewart,"tt0052561,tt0052357,tt0032904,tt0031679"
30,nm0000007,humphrey bogart,"tt0034583,tt0040897,tt0043265,tt0037382"
31,nm0593775,thomas mitchell,"tt0031381,tt0038650,tt0031679,tt0031971"
32,nm0531763,james macdonald,"tt0076618,tt0058331,tt0043274,tt0042332"
33,nm0000059,laurence olivier,"tt0077269,tt0054331,tt0032976,tt0069281"
34,nm0000747,don ameche,"tt0102603,tt0086465,tt0088933,tt0107131"
35,nm0006323,dimitri tiomkin,"tt0046912,tt0054953,tt0044706,tt0049261"
36,nm0183183,william cottrell,"tt0032910,tt0046183,tt0029583,tt0043274"
37,nm0604392,larry morey,"tt5848272,tt2140373,tt0029583,tt0034492"
38,nm0000020,henry fonda,"tt0032551,tt0082846,tt0064116,tt0050083"
39,nm0730860,bill roberts,"tt0033563,tt0029583,tt0034492,tt0032910"
40,nm0434724,milt kahl,"tt0058331,tt0029583,tt0046183,tt0048280"
41,nm0001017,john carradine,"tt0031971,tt0032551,tt0049833,tt0084649"
42,nm0000034,william holden,"tt0043014,tt0072308,tt0074958,tt0046359"
43,nm0000006,ingrid bergman,"tt0036855,tt0038787,tt0038109,tt0034583"
44,nm0580565,burgess meredith,"tt0075148,tt0079817,tt0084602,tt0082186"
45,nm0197950,marcel dalio,"tt0031885,tt0045810,tt0047437,tt0037382"
46,nm0314671,clyde geronimi,"tt0042332,tt0043274,tt0046183,tt0053285"
47,nm0123553,corey burton,"tt0230011,tt0092106,tt0119282,tt1568322"
48,nm0272568,norman ferguson,"tt0042332,tt0033563,tt0046183,tt0032910"
49,nm0000955,ward bond,"tt0049730,tt0045061,tt0038650,tt0033870"
50,nm0527217,hamilton luske,"tt0058331,tt0046183,tt0032910,tt0042332"
51,nm0000752,judith anderson,"tt0049833,tt0032976,tt0088170,tt0051459"
52,nm0006276,victor schertzinger,"tt0338337,tt0071360,tt0088170,tt0119668"
53,nm0006085,arthur freed,"tt0120685,tt0095016,tt0045152,tt0043278"
54,nm0001359,sterling holloway,"tt0065421,tt0076363,tt0061852,tt0043274"
55,nm1027883,bobette audrey,tt0034492
56,nm0000180,david lean,"tt0050212,tt0037558,tt0056172,tt0059113"
57,nm0936404,robert wise,"tt0066769,tt0059742,tt0079945,tt0055614"
58,nm0000697,billy wilder,"tt0053604,tt0053291,tt0047437,tt0043014"
59,nm0000212,meg ryan,"tt0120632,tt0128853,tt0108160,tt0098635"
60,nm0413168,hugh jackman,"tt0120903,tt0458525,tt1707386,tt3315342"
61,nm0000630,liev schreiber,"tt0368008,tt0404030,tt0458525,tt1895587"
62,nm0003506,james mangold,"tt0358273,tt3315342,tt1950186,tt1430132"
63,nm0465298,cathy konrad,"tt0117571,tt0309698,tt0120082,tt0358273"
64,nm0821041,robert stack,"tt0080339,tt0115641,tt0035446,tt0078723"
65,nm0329015,benny goodman,"tt3640424,tt0097576,tt0119174,tt0081398"
66,nm0001522,roddy mcdowall,"tt0063442,tt0089175,tt0093693,tt0068408"
67,nm0000039,deborah kerr,"tt0039192,tt0050105,tt0045793,tt0049408"
68,nm0000978,lloyd bridges,"tt0107144,tt0080339,tt0102059,tt0083530"
69,nm0001375,kim hunter,"tt0044081,tt0063442,tt0065462,tt0067065"
70,nm0297843,susumu fujita,"tt0066473,tt0051808,tt0057565,tt0055630"
71,nm0000041,akira kurosawa,"tt0051808,tt0089881,tt0080979,tt0047478"
72,nm0002025,hume cronyn,"tt0036342,tt0092494,tt0088850,tt0088933"
73,nm0001788,jessica tandy,"tt0056869,tt0092494,tt0097239,tt0101921"
74,nm0356004,porter hall,"tt0032599,tt0034240,tt0036775,tt0043338"
75,nm0002145,trevor howard,"tt0083987,tt0078346,tt0041959,tt0037558"
76,nm0001450,angela lansbury,"tt0056218,tt0101414,tt0118617,tt0066817"
77,nm0000053,robert mitchum,"tt0039689,tt0048424,tt0055824,tt0056197"
78,nm0000005,ingmar bergman,"tt0050976,tt0083922,tt0060827,tt0050986"
79,nm0575008,joshua meador,"tt0033563,tt0042332,tt0049223,tt0046672"
80,nm0007042,herbert lom,"tt0085407,tt0054331,tt0058586,tt0075066"
81,nm0818545,sam spiegel,"tt0056172,tt0050212,tt0043265,tt0047296"
82,nm0796923,don siegel,"tt0049366,tt0066999,tt0079116,tt0067588"
83,nm0000277,richard attenborough,"tt0083987,tt0110527,tt0107290,tt0057115"
84,nm0159258,cyril cusack,"tt0104231,tt0069947,tt0087803,tt0060390"
85,nm0005467,jerry stiller,"tt0098904,tt0196229,tt0408839,tt0427327"
86,nm0001013,harry carey jr.,"tt0087363,tt0108358,tt0099528,tt0099088"
87,nm0000019,federico fellini,"tt0071129,tt0053779,tt0056801,tt0050783"
88,nm0537363,richard maibaum,"tt0058150,tt0097742,tt0059800,tt0076752"
89,nm0000946,whit bissell,"tt0046876,tt0070723,tt0054387,tt0054047"
